"scenario","timeperiod","compartment","target","area","volume","age","hsize","avail_thlb","transition_area","transition_volume"
"cg_partner_agreement_a3_r40",85,"TFL48","330000","1327.97799999714","329934.867294244","167.822605495922","0.991768483941105","64213.1089981124","291.583999991417","44347.0334389086"
"cg_partner_agreement_a3_r40",90,"TFL48","330000","1553.93719998598","329967.965804042","147.887110238734","1.97701933840456","62710.2439981624","661.364199995995","98949.8322794549"
"cg_partner_agreement_a3_r40",95,"TFL48","330000","1593.34399983883","329980.104080062","174.186144352618","2.65557333306471","59549.4339990541","519.582000017166","73821.2754620776"
"cg_partner_agreement_a3_r40",100,"TFL48","330000","1674.8549999103","329991.48796838","158.346887345873","1.44384051716405","55881.7289993167","740.703999948502","109112.235573189"
"cg_partner_agreement_a3_r40",105,"TFL48","330000","1645.1547999382","329976.736405462","145.665466368427","1.07879003274636","50237.0849997401","830.426000022888","123270.704002255"
"cg_partner_agreement_a3_r40",110,"TFL48","330000","1465.11859997511","329988.955141998","177.776676235117","0.77807679233941","47124.4199999571","500.553600001335","79972.412270019"
"cg_partner_agreement_a3_r40",115,"TFL48","330000","1502.1589999795","329944.233460047","192.448301414352","1.66352048724197","44048.4199999571","473.964999973774","80709.1023968172"
"cg_partner_agreement_a3_r40",120,"TFL48","330000","1498","329950.822","189.247530040053","2.14921090387374","39705.4199999571","528.2","82874.496"
"cg_partner_agreement_a3_r40",125,"TFL48","330000","1526.37899998426","329972.097586503","195.802875955732","0.671526176851854","34503.4549999833","445.4","60948.128"
"cg_partner_agreement_a3_r40",130,"TFL48","330000","1391.94799998999","329991.079681698","196.908979360673","1.90156830599725","30525.4549999833","476.953999984264","69192.5843200409"
"cg_partner_agreement_a3_r40",135,"TFL48","330000","1596.73400001526","329988.850323745","169.625612031202","1.92842270533244","26082.6749998927","752.377999997139","104279.503259601"
"cg_partner_agreement_a3_r40",140,"TFL48","330000","1650.15220000744","329978.03052084","159.973910284819","2.42313098385821","22765.6749998927","863.152200007439","116907.63392084"
"cg_partner_agreement_a3_r40",145,"TFL48","330000","1554.262999928","329958.392682211","168.030399621834","2.45539178503633","19221.6749998927","726.082999932766","101777.834861261"
"cg_partner_agreement_a3_r40",150,"TFL48","330000","1557.73899997473","329901.067684076","194.065825531854","1.15730980681629","14970.9550000429","638.192999994755","91328.5773093356"
"cg_partner_agreement_a3_r40",155,"TFL48","330000","1584.60799980164","329977.030047479","187.91019104777","2.83979928279863","11343.9550000429","688.658999836445","94188.144639425"
"cg_partner_agreement_a3_r40",160,"TFL48","330000","1575.03199994564","329977.103054439","174.460547472397","2.69697260264664","7935.95500004292","769.031999945641","109053.048454439"
"cg_partner_agreement_a3_r40",165,"TFL48","330000","1464.27439990044","329937.215014995","209.728385617075","0.724529638743412","3561.95500004292","524.688399910927","79530.2433326797"
"cg_partner_agreement_a3_r40",170,"TFL48","330000","1494.77299998999","296820.823999368","202.662919387454","1.19869526863672","1.95500004291534","641.172999989986","91289.5813993683"
"cg_partner_agreement_a3_r40",175,"TFL48","330000","669.794000005722","113606.921862633","118.522067978994","1.8200923913199","1.95500004291534","516.594000005722","78042.5408626332"
"cg_partner_agreement_a3_r40",180,"TFL48","330000","462.553999984264","74906.7173380693","114.560743180228","1.35646334306236","1.95500004291534","364.953999984264","52536.5937380693"
"cg_partner_agreement_a3_r40",185,"TFL48","330000","556.344999992847","98858.537658085","120.396193005204","1.20682212579793","1.95500004291534","434.359000003338","71927.1977403784"
"cg_partner_agreement_a3_r40",190,"TFL48","330000","793.062199950218","128449.768096586","93.7521420172616","1.64535726130751","1.95500004291534","706.662199950218","107960.140696586"
"cg_partner_agreement_a3_r40",195,"TFL48","330000","837.164999973774","130666.005396817","89.8434597735299","1.98851543936763","1.95500004291534","748.564999973774","109466.230396817"
"cg_partner_agreement_a3_r40",200,"TFL48","330000","610.178999984264","103604.347288072","100.779353272925","1.5807746113582","1.95500004291534","531.178999984264","85057.5272880722"
"cg_bau_a3_rNA",5,"Dawson_Creek_TSA","1370000","5643.13404170722","1369988.36492242","125.460946374857","2.2190853486855","330462.571838172","971.082411071658","344432.04675514"
"cg_bau_a3_rNA",10,"Dawson_Creek_TSA","1370000","6256.74744429588","1369984.4527428","127.021499610915","2.38261517299919","294183.215902814","284.793003720045","75075.202549606"
"cg_bau_a3_rNA",15,"Dawson_Creek_TSA","1370000","6418.86322465572","1369984.47707698","113.830301147225","2.05601000149126","266386.165761312","311.498602201044","54198.9580895222"
